Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
94	:	1762196721.764	     0.012	0	0	0	0	conjuge -vI aguerrir
95	:	1762196721.767	     0.013	0	0	0	0	conjuge -vI aider
96	:	1762196721.770	     0.013	0	0	0	0	conjuge -vI aiguiller
97	:	1762196721.774	     0.016	0	0	0	0	conjuge -vI aiguiser
98	:	1762196721.776	     0.025	0	0	0	0	conjuge -vI ailler
99	:	1762196721.780	     0.029	0	0	0	0	conjuge -vI aimer
100	:	1762196721.783	     0.030	0	0	0	0	conjuge -vI airer
101	:	1762196721.791	     0.028	0	0	0	0	conjuge -vI ajouter
102	:	1762196721.801	     0.022	0	0	0	0	conjuge -vI alerter
103	:	1762196721.809	     0.019	0	0	0	0	conjuge -vI 'aliéner'
104	:	1762196721.814	     0.019	0	0	0	0	conjuge -vI aligner
105	:	1762196721.819	     0.016	0	0	0	0	conjuge -vI alimenter
106	:	1762196721.824	     0.016	0	0	0	0	conjuge -vI aliter
107	:	1762196721.828	     0.016	0	0	0	0	conjuge -vI 'allécher'
108	:	1762196721.832	     0.016	0	0	0	0	conjuge -vI 'alléger'
109	:	1762196721.836	     0.012	0	0	0	0	conjuge -vI 'alléguer'
110	:	1762196721.840	     0.011	0	0	0	0	conjuge -vI aller
111	:	1762196721.844	     0.013	0	0	0	0	conjuge -vI allier
112	:	1762196721.848	     0.013	0	0	0	0	conjuge -vI allonger
113	:	1762196721.851	     0.013	0	0	0	0	conjuge -vI allouer
114	:	1762196721.855	     0.012	0	0	0	0	conjuge -vI allumer
115	:	1762196721.857	     0.013	0	0	0	0	conjuge -vI alourdir
116	:	1762196721.860	     0.011	0	0	0	0	conjuge -vI 'altérer'
117	:	1762196721.864	     0.009	0	0	0	0	conjuge -vI aluner
118	:	1762196721.867	     0.010	0	0	0	0	conjuge -vI alunir
119	:	1762196721.871	     0.013	0	0	0	0	conjuge -vI amarrer
120	:	1762196721.874	     0.013	0	0	0	0	conjuge -vI amasser
121	:	1762196721.878	     0.012	0	0	0	0	conjuge -vI 'améliorer'
122	:	1762196721.881	     0.013	0	0	0	0	conjuge -vI 'aménager'
123	:	1762196721.884	     0.009	0	0	0	0	conjuge -vI amener
124	:	1762196721.887	     0.009	0	0	0	0	conjuge -vI amenuiser
125	:	1762196721.890	     0.013	0	0	0	0	conjuge -vI amerrir
126	:	1762196721.893	     0.013	0	0	0	0	conjuge -vI amoindrir
127	:	1762196721.897	     0.013	0	0	0	0	conjuge -vI amonceler
128	:	1762196721.900	     0.013	0	0	0	0	conjuge -vI amorcer
129	:	1762196721.903	     0.009	0	0	0	0	conjuge -vI amortir
130	:	1762196721.906	     0.013	0	0	0	0	conjuge -vI amourer
131	:	1762196721.909	     0.013	0	0	0	0	conjuge -vI amplifier
133	:	1762196721.916	     0.013	0	0	0	0	conjuge -vI amuser
134	:	1762196721.919	     0.011	0	0	0	0	conjuge -vI analyser
135	:	1762196721.922	     0.011	0	0	0	0	conjuge -vI 'anéantir'
